Strain_a,Strain_b,Similarity*
A/Utah/11/2011,A/Perth/16/2009nib-64,0
A/Utah/11/2011,A/Tasmania/1018/2015,0
A/Utah/11/2011,A/Alaska/251/2015,0
A/Utah/11/2011,A/Singapore/Infimh-16-0019/2016,1
A/Utah/11/2011,A/Wisconsin/16/2015,1
A/Utah/11/2011,A/Hong_Kong/3089/2017,1
A/Utah/11/2011,A/Nagano/2153/2017,1
A/Utah/11/2011,A/Sweden/3/2017,1
A/Utah/11/2011,A/Moramanga/1907/2017,1
A/Utah/11/2011,A/Helsinki/823/2013,1
A/Utah/11/2011,A/Helsinki/941/2013,1
A/Utah/11/2011,A/Ohio/13/2017,1
A/Utah/11/2011,A/Ohio/62/2012,1
A/Utah/11/2011,A/Ontario/Rv3236/2016,1
A/Utah/11/2011,A/Indiana/08/2011,1
A/Utah/11/2011,A/Minnesota/11/2010,1
A/Gambia/G0071436/2012,A/Hanoi/Eli15597/2015,0
A/Gambia/G0071436/2012,A/Heilongjiang-Xiangyang/1134/2011,0
A/Gambia/G0071436/2012,A/Perth/16/2009nib-64,0
A/Gambia/G0071436/2012,A/Tasmania/1018/2015,0
A/Gambia/G0071436/2012,A/Alaska/251/2015,0
A/Gambia/G0071436/2012,A/Singapore/Infimh-16-0019/2016,1
A/Gambia/G0071436/2012,A/Wisconsin/16/2015,1
A/Gambia/G0071436/2012,A/Hong_Kong/3089/2017,1
A/Gambia/G0071436/2012,A/Nagano/2153/2017,1
A/Gambia/G0071436/2012,A/Sweden/3/2017,1
A/Gambia/G0071436/2012,A/Moramanga/1907/2017,1
A/Gambia/G0071436/2012,A/Helsinki/823/2013,1
A/Gambia/G0071436/2012,A/Helsinki/941/2013,1
A/Gambia/G0071436/2012,A/Ohio/13/2017,1
A/Gambia/G0071436/2012,A/Ohio/62/2012,1
A/Gambia/G0071436/2012,A/Ontario/Rv3236/2016,1
A/Gambia/G0071436/2012,A/Indiana/08/2011,1
A/Gambia/G0071436/2012,A/Minnesota/11/2010,1
A/Hanoi/Eli15597/2015,A/Heilongjiang-Xiangyang/1134/2011,0
A/Hanoi/Eli15597/2015,A/Perth/16/2009nib-64,0
A/Hanoi/Eli15597/2015,A/Tasmania/1018/2015,0
A/Hanoi/Eli15597/2015,A/Alaska/251/2015,0
A/Hanoi/Eli15597/2015,A/Singapore/Infimh-16-0019/2016,1
A/Hanoi/Eli15597/2015,A/Wisconsin/16/2015,1
A/Hanoi/Eli15597/2015,A/Hong_Kong/3089/2017,1
A/Hanoi/Eli15597/2015,A/Nagano/2153/2017,1
A/Hanoi/Eli15597/2015,A/Sweden/3/2017,0
A/Hanoi/Eli15597/2015,A/Moramanga/1907/2017,1
A/Hanoi/Eli15597/2015,A/Helsinki/823/2013,1
A/Hanoi/Eli15597/2015,A/Helsinki/941/2013,1
A/Hanoi/Eli15597/2015,A/Ohio/13/2017,1
A/Hanoi/Eli15597/2015,A/Ohio/62/2012,1
A/Hanoi/Eli15597/2015,A/Ontario/Rv3236/2016,1
A/Hanoi/Eli15597/2015,A/Indiana/08/2011,1
A/Hanoi/Eli15597/2015,A/Minnesota/11/2010,1
A/Heilongjiang-Xiangyang/1134/2011,A/Perth/16/2009nib-64,0
A/Heilongjiang-Xiangyang/1134/2011,A/Tasmania/1018/2015,1
A/Heilongjiang-Xiangyang/1134/2011,A/Alaska/251/2015,1
A/Heilongjiang-Xiangyang/1134/2011,A/Singapore/Infimh-16-0019/2016,1
A/Heilongjiang-Xiangyang/1134/2011,A/Wisconsin/16/2015,1
A/Heilongjiang-Xiangyang/1134/2011,A/Hong_Kong/3089/2017,1
A/Heilongjiang-Xiangyang/1134/2011,A/Nagano/2153/2017,1
A/Heilongjiang-Xiangyang/1134/2011,A/Sweden/3/2017,1
A/Heilongjiang-Xiangyang/1134/2011,A/Moramanga/1907/2017,1
A/Heilongjiang-Xiangyang/1134/2011,A/Helsinki/823/2013,1
A/Heilongjiang-Xiangyang/1134/2011,A/Helsinki/941/2013,1
A/Heilongjiang-Xiangyang/1134/2011,A/Ohio/13/2017,1
A/Heilongjiang-Xiangyang/1134/2011,A/Ohio/62/2012,1
A/Heilongjiang-Xiangyang/1134/2011,A/Ontario/Rv3236/2016,1
A/Heilongjiang-Xiangyang/1134/2011,A/Indiana/08/2011,1
A/Heilongjiang-Xiangyang/1134/2011,A/Minnesota/11/2010,1
A/Perth/16/2009nib-64,A/Tasmania/1018/2015,0
A/Perth/16/2009nib-64,A/Alaska/251/2015,0
A/Perth/16/2009nib-64,A/Singapore/Infimh-16-0019/2016,1
A/Perth/16/2009nib-64,A/Wisconsin/16/2015,1
A/Perth/16/2009nib-64,A/Hong_Kong/3089/2017,1
A/Perth/16/2009nib-64,A/Nagano/2153/2017,1
A/Perth/16/2009nib-64,A/Sweden/3/2017,1
A/Perth/16/2009nib-64,A/Moramanga/1907/2017,1
A/Perth/16/2009nib-64,A/Helsinki/823/2013,1
A/Perth/16/2009nib-64,A/Helsinki/941/2013,1
A/Perth/16/2009nib-64,A/Ohio/13/2017,1
A/Perth/16/2009nib-64,A/Ohio/62/2012,1
A/Perth/16/2009nib-64,A/Ontario/Rv3236/2016,1
A/Perth/16/2009nib-64,A/Indiana/08/2011,1
A/Perth/16/2009nib-64,A/Minnesota/11/2010,1
A/Tasmania/1018/2015,A/Alaska/251/2015,0
A/Tasmania/1018/2015,A/Singapore/Infimh-16-0019/2016,0
A/Tasmania/1018/2015,A/Wisconsin/16/2015,1
A/Tasmania/1018/2015,A/Hong_Kong/3089/2017,0
A/Tasmania/1018/2015,A/Nagano/2153/2017,1
A/Tasmania/1018/2015,A/Sweden/3/2017,1
A/Tasmania/1018/2015,A/Moramanga/1907/2017,1
A/Tasmania/1018/2015,A/Helsinki/823/2013,1
A/Tasmania/1018/2015,A/Helsinki/941/2013,1
A/Tasmania/1018/2015,A/Ohio/13/2017,1
A/Tasmania/1018/2015,A/Ohio/62/2012,1
A/Tasmania/1018/2015,A/Ontario/Rv3236/2016,1
A/Tasmania/1018/2015,A/Indiana/08/2011,1
A/Tasmania/1018/2015,A/Minnesota/11/2010,1
A/Alaska/251/2015,A/Singapore/Infimh-16-0019/2016,1
A/Alaska/251/2015,A/Wisconsin/16/2015,1
A/Alaska/251/2015,A/Hong_Kong/3089/2017,1
A/Alaska/251/2015,A/Nagano/2153/2017,1
A/Alaska/251/2015,A/Sweden/3/2017,0
A/Alaska/251/2015,A/Moramanga/1907/2017,1
A/Alaska/251/2015,A/Helsinki/823/2013,1
A/Alaska/251/2015,A/Helsinki/941/2013,1
A/Alaska/251/2015,A/Ohio/13/2017,1
A/Alaska/251/2015,A/Ohio/62/2012,1
A/Alaska/251/2015,A/Ontario/Rv3236/2016,1
A/Alaska/251/2015,A/Indiana/08/2011,1
A/Alaska/251/2015,A/Minnesota/11/2010,1
A/Singapore/Infimh-16-0019/2016,A/Wisconsin/16/2015,1
A/Singapore/Infimh-16-0019/2016,A/Hong_Kong/3089/2017,0
